Format Version,1.23,Take Name,Take 2022-05-02 03.27.18 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-05-02 03.27.19.810 PM,Capture Start Frame,231020,Total Frames in Take,1505,Total Exported Frames,1505,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Atlas:Marker1,Atlas:Marker1,Atlas:Marker1,Atlas:Marker2,Atlas:Marker2,Atlas:Marker2,Atlas:Marker3,Atlas:Marker3,Atlas:Marker3,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007
,ID,"C66A0","C66A0","C66A0","C6D90","C6D90","C6D90","C6DB0","C6DB0","C6DB0","C5E80","C5E80","C5E80","C7620","C7620","C7620","C7630","C7630","C7630","C7640","C7640","C7640"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
70,0.583000,-7388.503906,2352.518311,-2140.866943,-7280.520996,2354.816650,-2033.066772,-7299.229980,2350.289795,-2160.733643,-3639.507568,199.248169,2679.320068,,,,,,,,,
71,0.591000,-7388.093262,2353.499023,-2141.037109,-7279.185059,2354.781982,-2032.435425,-7298.050781,2350.310059,-2160.320068,-3639.468506,199.196548,2679.344727,,,,,,,,,
72,0.600000,-7386.005371,2352.542969,-2139.965088,-7277.871094,2354.773193,-2031.894409,-7296.688965,2350.300781,-2159.712402,-3639.461914,199.158966,2679.329346,,,,,,,,,
73,0.608000,-7387.104980,2355.486572,-2139.491211,-7276.708984,2354.886475,-2031.435913,-7295.571289,2350.316406,-2159.272217,-3639.479248,199.200439,2679.294189,,,,,,,,,
74,0.616000,-7384.148926,2353.177734,-2139.185059,-7275.664551,2354.947998,-2031.037354,-7294.416504,2350.411133,-2158.803467,-3639.479004,199.226791,2679.315430,,,,,,,,,
75,0.625000,-7383.323730,2353.614746,-2139.259277,-7274.301270,2354.954346,-2030.462036,-7293.170410,2350.425293,-2158.378662,-3639.454834,199.199615,2679.342285,,,,,,,,,
76,0.633000,-7381.371582,2352.472168,-2138.058105,-7273.349609,2355.106201,-2030.123291,-7292.042969,2350.446289,-2157.866699,-3639.450684,199.170425,2679.308350,,,,,,,,,
77,0.641000,-7381.080078,2353.470459,-2138.229248,-7272.293945,2355.109375,-2029.673828,-7291.044434,2350.503174,-2157.482422,-3639.447998,199.151077,2679.325928,,,,,,,,,
78,0.650000,-7379.024414,2352.317871,-2137.092529,-7270.974609,2355.055908,-2028.999146,-7289.838867,2350.529785,-2156.957031,-3639.427734,199.115158,2679.344482,,,,,,,,,
79,0.658000,-7378.910645,2353.782471,-2137.469727,-7270.111328,2355.204102,-2028.757568,-7288.770508,2350.522949,-2156.493408,-3639.436279,199.192627,2679.333984,,,,,,,,,
